year,state_name,yield_per_acre,commodity,avg_temp,max_temp,min_temp,total_precip,total_gdd,avg_humidity,DSCI,avg_dsci,drought_category,D0,D1,D2,D3,D4,None,price_index,supply_risk_score,yield_zscore,temp_stress,precip_deficit
2025,GEORGIA,179.0,CORN,,,,,,,,0.0,,,,,,,,100,50,0.11751993098694195,0,0
2025,GEORGIA,182.0,CORN,,,,,,,,0.0,,,,,,,,100,50,0.22194050660909742,0,0
2025,GEORGIA,52.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,0.41248226219993156,0,0
2025,GEORGIA,55.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,0.7132025706753006,0,0
2025,GEORGIA,52.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,0.41248226219993156,0,0
2025,GEORGIA,66.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,-0.031419681067015086,0,0
2025,GEORGIA,66.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,-0.031419681067015086,0,0
2025,IDAHO,230.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.8926697165635848,0,0
2025,IDAHO,222.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.6142148482378371,0,0
2025,IDAHO,230.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.8926697165635848,0,0
2025,IDAHO,93.5,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.2327225710806118,0,0
2025,IDAHO,84.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.796018883975068,0,0
2025,IDAHO,84.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.796018883975068,0,0
2025,IDAHO,79.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.5661748381300449,0,0
2025,IDAHO,99.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.4855510215101373,0,0
2025,IDAHO,97.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.3936134031721281,0,0
2025,IDAHO,97.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.3936134031721281,0,0
2025,IDAHO,97.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.3936134031721281,0,0
2025,IDAHO,97.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,1.3936134031721281,0,0
2025,ILLINOIS,219.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.5097942726156814,0,0
2025,ILLINOIS,221.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.5794079896971185,0,0
2025,ILLINOIS,219.0,CORN,,,,,,,,0.0,,,,,,,,100,50,1.5097942726156814,0,0
2025,ILLINOIS,65.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,1.7156035989265308,0,0
2025,ILLINOIS,65.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,1.7156035989265308,0,0
2025,ILLINOIS,65.0,SOYBEANS,,,,,,,,0.0,,,,,,,,100,50,1.7156035989265308,0,0
2025,ILLINOIS,88.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.9798941206510865,0,0
2025,ILLINOIS,88.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.9798941206510865,0,0
2025,ILLINOIS,87.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.9339253114820818,0,0
2025,ILLINOIS,87.0,WHEAT,,,,,,,,0.0,,,,,,,,100,50,0.9339253114820818,0,0
