year,state_name,commodity,SRI,risk_category,yield_per_acre,recommendation,yield_risk,weather_risk,drought_risk,economic_risk
2025,MISSISSIPPI - SUMMARY,ALL,21.71839818277257,Avg: 21.7,,,,,,
2025,MISSISSIPPI,WHEAT,25.9006277525673,Moderate,60.0,"Monitor closely, consider +5% stockpile",56.144650721620856,4.0,0.0,35.0
2025,MISSISSIPPI,WHEAT,25.9006277525673,Moderate,60.0,"Monitor closely, consider +5% stockpile",56.144650721620856,4.0,0.0,35.0
2025,MISSISSIPPI,CORN,22.927360483091405,Low,179.0,Normal inventory,47.64960138026116,4.0,0.0,35.0
2025,MISSISSIPPI,CORN,22.927360483091405,Low,179.0,Normal inventory,47.64960138026116,4.0,0.0,35.0
2025,MISSISSIPPI,CORN,21.2218244145962,Low,186.0,Normal inventory,42.776641184560575,4.0,0.0,35.0
2025,MISSISSIPPI,SOYBEANS,18.75758200527289,Low,55.0,Normal inventory,35.73594858649399,4.0,0.0,35.0
2025,MISSISSIPPI,SOYBEANS,18.75758200527289,Low,55.0,Normal inventory,35.73594858649399,4.0,0.0,35.0
2025,MISSISSIPPI,SOYBEANS,17.35422056572117,Low,57.0,Normal inventory,31.726344473489064,4.0,0.0,35.0
