year,state_name,commodity,yield_per_acre,yield_risk,weather_risk,drought_risk,economic_risk,SRI,risk_category,recommendation,avg_temp,total_precip,avg_dsci
2025,NEBRASKA,WHEAT,38.0,76.3709267559829,4.0,0.0,35.0,32.97982436459401,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,COLORADO,WHEAT,38.0,76.3709267559829,4.0,0.0,35.0,32.97982436459401,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,OKLAHOMA,WHEAT,38.0,76.3709267559829,4.0,0.0,35.0,32.97982436459401,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,OKLAHOMA,WHEAT,38.0,76.3709267559829,4.0,0.0,35.0,32.97982436459401,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,OKLAHOMA,WHEAT,38.0,76.3709267559829,4.0,0.0,35.0,32.97982436459401,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,CORN,139.0,75.49508821283595,4.0,0.0,35.0,32.67328087449258,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,OKLAHOMA,WHEAT,39.0,75.4515505726028,4.0,0.0,35.0,32.658042700410974,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,OKLAHOMA,WHEAT,39.0,75.4515505726028,4.0,0.0,35.0,32.658042700410974,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,COLORADO,WHEAT,40.0,74.5321743892227,4.0,0.0,35.0,32.336261036227945,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,COLORADO,WHEAT,40.0,74.5321743892227,4.0,0.0,35.0,32.336261036227945,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEBRASKA,WHEAT,40.0,74.5321743892227,4.0,0.0,35.0,32.336261036227945,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,SOYBEANS,36.0,73.82718766004074,4.0,0.0,35.0,32.089515681014255,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,SOYBEANS,36.0,73.82718766004074,4.0,0.0,35.0,32.089515681014255,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,SOYBEANS,36.0,73.82718766004074,4.0,0.0,35.0,32.089515681014255,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,KANSAS,SOYBEANS,36.0,73.82718766004074,4.0,0.0,35.0,32.089515681014255,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,CORN,143.0,72.71053952957848,4.0,0.0,35.0,31.698688835352467,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,WASHINGTON,WHEAT,42.0,72.69342202246253,4.0,0.0,35.0,31.692697707861882,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,SOYBEANS,37.0,71.82238560353828,4.0,0.0,35.0,31.387834961238397,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH CAROLINA,SOYBEANS,37.0,71.82238560353828,4.0,0.0,35.0,31.387834961238397,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,SOYBEANS,37.0,71.82238560353828,4.0,0.0,35.0,31.387834961238397,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,WASHINGTON,WHEAT,43.0,71.77404583908242,4.0,0.0,35.0,31.370916043678847,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,CORN,145.0,71.31826518794973,4.0,0.0,35.0,31.211392815782407,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,CORN,145.0,71.31826518794973,4.0,0.0,35.0,31.211392815782407,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MONTANA,WHEAT,44.0,70.85466965570234,4.0,0.0,35.0,31.04913437949582,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,44.0,70.85466965570234,4.0,0.0,35.0,31.04913437949582,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MONTANA,WHEAT,44.0,70.85466965570234,4.0,0.0,35.0,31.04913437949582,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MONTANA,WHEAT,45.0,69.93529347232224,4.0,0.0,35.0,30.727352715312783,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,SOYBEANS,38.0,69.81758354703581,4.0,0.0,35.0,30.686154241462532,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,ALABAMA,SOYBEANS,38.0,69.81758354703581,4.0,0.0,35.0,30.686154241462532,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,CORN,148.0,69.22985367550662,4.0,0.0,35.0,30.480448786427313,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,CORN,148.0,69.22985367550662,4.0,0.0,35.0,30.480448786427313,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH CAROLINA,CORN,148.0,69.22985367550662,4.0,0.0,35.0,30.480448786427313,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MONTANA,WHEAT,46.0,69.01591728894215,4.0,0.0,35.0,30.40557105112975,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,46.0,69.01591728894215,4.0,0.0,35.0,30.40557105112975,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,SOUTH DAKOTA,WHEAT,46.0,69.01591728894215,4.0,0.0,35.0,30.40557105112975,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEBRASKA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NEBRASKA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,WASHINGTON,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,MONTANA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
2025,NORTH DAKOTA,WHEAT,47.0,68.09654110556205,4.0,0.0,35.0,30.083789386946716,Moderate,"Monitor closely, consider +5% stockpile",,,0.0
